Ygrowth,Igrowth,Cgrowth,N,wgrowth,RB,pi,sigma2,w90share,I90share,Tgrowth,tauprog
0.0108852702107439,0.0421191701133399,0.00964360212763489,0.0144087046700427,0.00315191067085093,-0.00891709587929134,-0.00510468812038691,NaN,0.0156139205550495,-0.0866305469844498,0.0275227493077889,0.0191779368718201
0.0212605628917751,0.0882512437442547,0.0133616965363052,0.0276208877465232,-0.00176580464112634,-0.00902515680913615,-0.00320339102944868,NaN,NaN,NaN,0.0457613370626454,NaN
0.0120079105329894,0.0446990341707441,0.00837124063971247,0.0377319366593341,5.22795479707874e-05,-0.00813607952133468,-0.00369949606031852,NaN,NaN,NaN,0.0199028758150316,NaN
0.00419257674686099,0.0133775330783674,0.00175025133612068,0.045188652440963,0.00694967159451994,-0.00774579996827479,-0.000883750176703188,NaN,NaN,NaN,0.010945096944646,NaN
-0.000180518692920603,0.0362920321918861,-0.0022561062471174,0.0542500565307558,-0.00476109008818352,-0.00665050960685985,0.00207363311607332,NaN,0.0210426771934648,-0.0645377351485138,0.0100819691161792,0.0400796595725343
-0.0115607910753403,-0.024925989751587,-0.0117275075610857,0.0573027295901563,0.00159523650977185,-0.00561440757831846,0.00204224725900935,NaN,NaN,NaN,-0.0188907041448708,NaN
-0.00238633992546569,-0.0301546983435248,-0.00350704494511382,0.0564962719557522,0.00934912690553343,-0.00529964522129721,-0.00191999640346532,NaN,NaN,NaN,0.00730382309472902,NaN
-0.0096820907193719,-0.0041438489315446,-0.00810204193766899,0.0494295958916613,-0.00101845578076824,-0.00477802055566714,0.00461444339381487,NaN,NaN,NaN,-0.0218569507670946,NaN
0.00477387316160657,-0.026231256411565,0.00786832789260879,0.0518147541338356,0.00875624182533193,-0.00448834660236459,-0.00383396190445386,NaN,0.0260054958010317,-0.089115706347148,0.0303673153910612,0.0522642830408984
-0.00147997384582213,-0.0139463308571894,-0.00546556499140442,0.0496202634914988,-0.00330902167085204,-0.00419875653576228,0.00581439557318462,NaN,NaN,NaN,-0.0066440671813975,NaN
-0.00807850796780466,-0.0125310535785914,-0.00663560662937583,0.0443278784769507,-0.000770330565429892,-0.00418221106467087,-0.000863415579921664,NaN,NaN,NaN,-0.0217197531286445,NaN
0.00262757430669444,0.00440346079699697,0.00226877799360232,0.0362826060965373,0.0034849979682496,-0.00401677140840803,-0.00191735575420251,NaN,NaN,NaN,-0.0142622980384331,NaN
-0.0166982813361797,-0.119022566108763,-0.00289962585336538,0.0120829923007602,0.0088434401733913,-0.00343794805739811,-0.00715394362720214,NaN,0.0318127275262046,-0.0913299059479514,-0.0464756309215342,0.0520662067457387
-0.02899536577397,-0.0813544511041382,-0.0202381431676586,-0.0140166015539096,-0.0143139920658545,-0.00338835021324102,0.00290407722707473,NaN,NaN,NaN,-0.0726311530840672,NaN
0.000261717559303901,-0.0361618097254297,-0.000718581616971068,-0.0320356150949364,0.00219771425709222,-0.0068412693703985,-0.00492800034042841,NaN,NaN,NaN,-0.0091649396349048,NaN
0.0145140107765259,0.0872035599615124,0.00323313330870208,-0.0233460991222652,0.0129636985501284,-0.00914154317876088,-0.00178959843830897,NaN,NaN,NaN,0.0377915007458189,NaN
0.0177468244318704,0.0926196446171499,0.000451160277875797,-0.0118389451646452,-0.00459212301934157,-0.00818591340838829,-0.00311285429577281,NaN,0.029929020501277,-0.0960515088771557,0.0432043979350553,0.0303203200835993
0.00980445210789801,0.0284098335929617,0.0146815569515275,0.00400905417217778,0.00346207980665088,-0.00609502543009323,-0.00551806285274982,NaN,NaN,NaN,0.0232744228950143,NaN
0.0171249869028583,0.0624524867395184,0.00987954086301764,0.0194489973227947,0.00290927160684792,-0.00508433857411505,-0.00631719008595446,NaN,NaN,NaN,0.0394502431401541,NaN
-0.0107932133115322,-0.0787478035682127,0.0045699108450505,0.013108368760121,-0.00183572874755037,-0.00381001032010809,-0.00400470596101401,NaN,NaN,NaN,-0.0362725052882059,NaN
